Date : 2022-07-15 13:43:52
Directory : /home/witut/Desktop/xaninOS
Total : 176 files,  9820 codes, 808 comments, 4204 blanks, all 14832 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.c    | C                       |        167 |          1 |         80 |        248 |
| /home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.h    | C++                     |          4 |          0 |          1 |          5 |
| /home/witut/Desktop/xaninOS/src/xaninApps/install.c                | C                       |         11 |          0 |          6 |         17 |
| /home/witut/Desktop/xaninOS/src/xaninApps/keyboard_test.c          | C                       |         18 |          0 |          9 |         27 |
| /home/witut/Desktop/xaninOS/src/xaninApps/load.c                   | C                       |         21 |          1 |         21 |         43 |
| /home/witut/Desktop/xaninOS/src/xaninApps/loadch.c                 | C                       |         18 |          0 |         12 |         30 |
| /home/witut/Desktop/xaninOS/src/xaninApps/logo.c                   | C                       |         48 |          0 |         23 |         71 |
| /home/witut/Desktop/xaninOS/src/xaninApps/mouse.c                  | C                       |          5 |         13 |          7 |         25 |
| /home/witut/Desktop/xaninOS/src/xaninApps/nic_info.c               | C                       |         30 |          0 |         17 |         47 |
| /home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.c              | C                       |        168 |          0 |         76 |        244 |
| /home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.h              | C++                     |         18 |          0 |          9 |         27 |
| /home/witut/Desktop/xaninOS/src/xaninApps/reboot.asm               | x86 and x86_64 Assembly |         28 |          5 |         17 |         50 |
| /home/witut/Desktop/xaninOS/src/xaninApps/reboot.c                 | C                       |         18 |          0 |         15 |         33 |
| /home/witut/Desktop/xaninOS/src/xaninApps/register_dump.c          | C                       |         48 |          1 |         19 |         68 |
| /home/witut/Desktop/xaninOS/src/xaninApps/run.c                    | C                       |         42 |          1 |         22 |         65 |
| /home/witut/Desktop/xaninOS/src/xaninApps/run16.c                  | C                       |         35 |          1 |         19 |         55 |
| /home/witut/Desktop/xaninOS/src/xaninApps/shutdown.asm             | x86 and x86_64 Assembly |         12 |          1 |          9 |         22 |
| /home/witut/Desktop/xaninOS/src/xaninApps/shutdown.c               | C                       |         35 |          2 |         22 |         59 |
| /home/witut/Desktop/xaninOS/src/xaninApps/stack_frame_test.c       | C                       |         18 |          0 |         13 |         31 |
| /home/witut/Desktop/xaninOS/src/xaninApps/syscall_test.asm         | x86 and x86_64 Assembly |         25 |          3 |         17 |         45 |
| /home/witut/Desktop/xaninOS/src/xaninApps/timer_test.c             | C                       |         25 |          0 |         13 |         38 |
| /home/witut/Desktop/xaninOS/src/xaninApps/xanin_apps_space.asm     | x86 and x86_64 Assembly |          1 |          0 |          2 |          3 |
| /home/witut/Desktop/xaninOS/src/xaninApps/zsk.c                    | C                       |         49 |          1 |         21 |         71 |
| /home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.c      | C                       |         19 |          0 |         10 |         29 |
| /home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.h      | C++                     |          5 |          0 |          3 |          8 |
| /home/witut/Desktop/xaninOS/src/xanin_info/info_block.c            | C                       |          8 |          0 |          6 |         14 |
| /home/witut/Desktop/xaninOS/src/xanin_info/info_block.h            | C++                     |         12 |          0 |          6 |         18 |
| /home/witut/Desktop/xaninOS/src/xin_fs/cat.c                       | C                       |         35 |          1 |         24 |         60 |
| /home/witut/Desktop/xaninOS/src/xin_fs/copy.c                      | C                       |         14 |          0 |         10 |         24 |
| /home/witut/Desktop/xaninOS/src/xin_fs/entries_table.asm           | x86 and x86_64 Assembly |          2 |          1 |          4 |          7 |
| /home/witut/Desktop/xaninOS/src/xin_fs/link.c                      | C                       |         18 |          0 |         11 |         29 |
| /home/witut/Desktop/xaninOS/src/xin_fs/list_files.c                | C                       |         38 |          0 |         18 |         56 |
| /home/witut/Desktop/xaninOS/src/xin_fs/move.c                      | C                       |         21 |          0 |         11 |         32 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xanin_fs_saver.c            | C                       |          7 |          0 |          6 |         13 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin.c                       | C                       |        463 |          9 |        196 |        668 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin.h                       | C++                     |         21 |          0 |         12 |         33 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_entry.h                 | C++                     |         38 |          0 |         17 |         55 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_note.c                  | C                       |        120 |          1 |         68 |        189 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_paint.c                 | C                       |        129 |          4 |         59 |        192 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_pointers.asm            | x86 and x86_64 Assembly |          2 |          1 |          6 |          9 |
| Total                                                              |                         |      9,820 |        808 |      4,204 |     14,832 |
+--------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
