"filename", "language", "Markdown", "x86 and x86_64 Assembly", "C++", "C", "Shell Script", "Makefile", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/src/xaninApps/calc.c", "C", 0, 0, 0, 48, 0, 0, 0, 22, 70
"/home/witut/Desktop/xaninOS/src/xaninApps/cpu_info.c", "C", 0, 0, 0, 121, 0, 0, 0, 42, 163
"/home/witut/Desktop/xaninOS/src/xaninApps/device_info.c", "C", 0, 0, 0, 9, 0, 0, 5, 14, 28
"/home/witut/Desktop/xaninOS/src/xaninApps/disk_load.c", "C", 0, 0, 0, 9, 0, 0, 0, 3, 12
"/home/witut/Desktop/xaninOS/src/xaninApps/disk_write.c", "C", 0, 0, 0, 10, 0, 0, 0, 4, 14
"/home/witut/Desktop/xaninOS/src/xaninApps/epilepsy.c", "C", 0, 0, 0, 19, 0, 0, 0, 9, 28
"/home/witut/Desktop/xaninOS/src/xaninApps/execute_addr.c", "C", 0, 0, 0, 8, 0, 0, 0, 4, 12
"/home/witut/Desktop/xaninOS/src/xaninApps/file_system/xin_info.c", "C", 0, 0, 0, 24, 0, 0, 0, 7, 31
"/home/witut/Desktop/xaninOS/src/xaninApps/help.c", "C", 0, 0, 0, 128, 0, 0, 0, 33, 161
"/home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.c", "C", 0, 0, 0, 167, 0, 0, 1, 80, 248
"/home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.h", "C++", 0, 0, 4, 0, 0, 0, 0, 1, 5
"/home/witut/Desktop/xaninOS/src/xaninApps/install.c", "C", 0, 0, 0, 11, 0, 0, 0, 6, 17
"/home/witut/Desktop/xaninOS/src/xaninApps/keyboard_test.c", "C", 0, 0, 0, 18, 0, 0, 0, 9, 27
"/home/witut/Desktop/xaninOS/src/xaninApps/load.c", "C", 0, 0, 0, 21, 0, 0, 1, 21, 43
"/home/witut/Desktop/xaninOS/src/xaninApps/loadch.c", "C", 0, 0, 0, 18, 0, 0, 0, 12, 30
"/home/witut/Desktop/xaninOS/src/xaninApps/logo.c", "C", 0, 0, 0, 48, 0, 0, 0, 23, 71
"/home/witut/Desktop/xaninOS/src/xaninApps/mouse.c", "C", 0, 0, 0, 5, 0, 0, 13, 7, 25
"/home/witut/Desktop/xaninOS/src/xaninApps/nic_info.c", "C", 0, 0, 0, 30, 0, 0, 0, 17, 47
"/home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.c", "C", 0, 0, 0, 168, 0, 0, 0, 76, 244
"/home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.h", "C++", 0, 0, 18, 0, 0, 0, 0, 9, 27
"/home/witut/Desktop/xaninOS/src/xaninApps/reboot.asm", "x86 and x86_64 Assembly", 0, 28, 0, 0, 0, 0, 5, 17, 50
"/home/witut/Desktop/xaninOS/src/xaninApps/reboot.c", "C", 0, 0, 0, 18, 0, 0, 0, 15, 33
"/home/witut/Desktop/xaninOS/src/xaninApps/register_dump.c", "C", 0, 0, 0, 48, 0, 0, 1, 19, 68
"/home/witut/Desktop/xaninOS/src/xaninApps/run.c", "C", 0, 0, 0, 42, 0, 0, 1, 22, 65
"/home/witut/Desktop/xaninOS/src/xaninApps/run16.c", "C", 0, 0, 0, 35, 0, 0, 1, 19, 55
"/home/witut/Desktop/xaninOS/src/xaninApps/shutdown.asm", "x86 and x86_64 Assembly", 0, 12, 0, 0, 0, 0, 1, 9, 22
"/home/witut/Desktop/xaninOS/src/xaninApps/shutdown.c", "C", 0, 0, 0, 35, 0, 0, 2, 22, 59
"/home/witut/Desktop/xaninOS/src/xaninApps/stack_frame_test.c", "C", 0, 0, 0, 18, 0, 0, 0, 13, 31
"/home/witut/Desktop/xaninOS/src/xaninApps/syscall_test.asm", "x86 and x86_64 Assembly", 0, 25, 0, 0, 0, 0, 3, 17, 45
"/home/witut/Desktop/xaninOS/src/xaninApps/timer_test.c", "C", 0, 0, 0, 25, 0, 0, 0, 13, 38
"/home/witut/Desktop/xaninOS/src/xaninApps/xanin_apps_space.asm", "x86 and x86_64 Assembly", 0, 1, 0, 0, 0, 0, 0, 2, 3
"/home/witut/Desktop/xaninOS/src/xaninApps/zsk.c", "C", 0, 0, 0, 49, 0, 0, 1, 21, 71
"/home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.c", "C", 0, 0, 0, 19, 0, 0, 0, 10, 29
"/home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.h", "C++", 0, 0, 5, 0, 0, 0, 0, 3, 8
"/home/witut/Desktop/xaninOS/src/xanin_info/info_block.c", "C", 0, 0, 0, 8, 0, 0, 0, 6, 14
"/home/witut/Desktop/xaninOS/src/xanin_info/info_block.h", "C++", 0, 0, 12, 0, 0, 0, 0, 6, 18
"/home/witut/Desktop/xaninOS/src/xin_fs/cat.c", "C", 0, 0, 0, 35, 0, 0, 1, 24, 60
"/home/witut/Desktop/xaninOS/src/xin_fs/copy.c", "C", 0, 0, 0, 14, 0, 0, 0, 10, 24
"/home/witut/Desktop/xaninOS/src/xin_fs/entries_table.asm", "x86 and x86_64 Assembly", 0, 2, 0, 0, 0, 0, 1, 4, 7
"/home/witut/Desktop/xaninOS/src/xin_fs/link.c", "C", 0, 0, 0, 18, 0, 0, 0, 11, 29
"/home/witut/Desktop/xaninOS/src/xin_fs/list_files.c", "C", 0, 0, 0, 38, 0, 0, 0, 18, 56
"/home/witut/Desktop/xaninOS/src/xin_fs/move.c", "C", 0, 0, 0, 21, 0, 0, 0, 11, 32
"/home/witut/Desktop/xaninOS/src/xin_fs/xanin_fs_saver.c", "C", 0, 0, 0, 7, 0, 0, 0, 6, 13
"/home/witut/Desktop/xaninOS/src/xin_fs/xin.c", "C", 0, 0, 0, 463, 0, 0, 9, 196, 668
"/home/witut/Desktop/xaninOS/src/xin_fs/xin.h", "C++", 0, 0, 21, 0, 0, 0, 0, 12, 33
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_entry.h", "C++", 0, 0, 38, 0, 0, 0, 0, 17, 55
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_note.c", "C", 0, 0, 0, 120, 0, 0, 1, 68, 189
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_paint.c", "C", 0, 0, 0, 129, 0, 0, 4, 59, 192
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_pointers.asm", "x86 and x86_64 Assembly", 0, 2, 0, 0, 0, 0, 1, 6, 9
"Total", "-", 95, 622, 4654, 4375, 1, 73, 808, 4204, 14832
