Date : 2022-06-04 09:27:36
Directory : /home/witut/Desktop/xaninOS/src
Total : 144 files,  8449 codes, 749 comments, 3539 blanks, all 12737 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C                       |         50 |      3,975 |        217 |      1,802 |      5,994 |
| C++                     |         73 |      3,795 |        416 |      1,390 |      5,601 |
| x86 and x86_64 Assembly |         18 |        619 |        105 |        315 |      1,039 |
| Shell Script            |          2 |         47 |         10 |         25 |         82 |
| Makefile                |          1 |         13 |          1 |          7 |         21 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                 |        144 |      8,449 |        749 |      3,539 |     12,737 |
| IDT                                                               |          1 |         67 |          9 |         26 |        102 |
| boot                                                              |          4 |        285 |         87 |        147 |        519 |
| chip8                                                             |          3 |        119 |          4 |         95 |        218 |
| devices                                                           |         26 |      2,103 |        344 |        677 |      3,124 |
| devices/ACPI                                                      |          2 |        269 |          2 |         96 |        367 |
| devices/APIC                                                      |          4 |        142 |          2 |         46 |        190 |
