"filename", "language", "C", "x86 and x86_64 Assembly", "C++", "Shell Script", "Makefile", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/src/xagames/xagame_test.cpp", "C++", 0, 0, 16, 0, 0, 0, 8, 24
"/home/witut/Desktop/xaninOS/src/xaninApps/calc.c", "C", 49, 0, 0, 0, 0, 0, 21, 70
"/home/witut/Desktop/xaninOS/src/xaninApps/cpu_info.c", "C", 121, 0, 0, 0, 0, 0, 42, 163
"/home/witut/Desktop/xaninOS/src/xaninApps/device_info.c", "C", 9, 0, 0, 0, 0, 5, 14, 28
"/home/witut/Desktop/xaninOS/src/xaninApps/disk_load.c", "C", 6, 0, 0, 0, 0, 0, 2, 8
"/home/witut/Desktop/xaninOS/src/xaninApps/disk_write.c", "C", 7, 0, 0, 0, 0, 0, 2, 9
"/home/witut/Desktop/xaninOS/src/xaninApps/epilepsy.c", "C", 20, 0, 0, 0, 0, 0, 9, 29
"/home/witut/Desktop/xaninOS/src/xaninApps/execute_addr.c", "C", 7, 0, 0, 0, 0, 0, 3, 10
"/home/witut/Desktop/xaninOS/src/xaninApps/file_system/xin_info.c", "C", 24, 0, 0, 0, 0, 0, 7, 31
"/home/witut/Desktop/xaninOS/src/xaninApps/help.c", "C", 128, 0, 0, 0, 0, 0, 33, 161
"/home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.c", "C", 167, 0, 0, 0, 0, 1, 80, 248
"/home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.h", "C++", 0, 0, 4, 0, 0, 0, 1, 5
"/home/witut/Desktop/xaninOS/src/xaninApps/install.c", "C", 11, 0, 0, 0, 0, 0, 6, 17
"/home/witut/Desktop/xaninOS/src/xaninApps/keyboard_test.c", "C", 18, 0, 0, 0, 0, 0, 9, 27
"/home/witut/Desktop/xaninOS/src/xaninApps/load.c", "C", 26, 0, 0, 0, 0, 0, 21, 47
"/home/witut/Desktop/xaninOS/src/xaninApps/loadch.c", "C", 18, 0, 0, 0, 0, 0, 12, 30
"/home/witut/Desktop/xaninOS/src/xaninApps/logo.c", "C", 48, 0, 0, 0, 0, 0, 23, 71
"/home/witut/Desktop/xaninOS/src/xaninApps/mouse.c", "C", 5, 0, 0, 0, 0, 13, 7, 25
"/home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.c", "C", 168, 0, 0, 0, 0, 0, 76, 244
"/home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.h", "C++", 0, 0, 18, 0, 0, 0, 9, 27
"/home/witut/Desktop/xaninOS/src/xaninApps/reboot.asm", "x86 and x86_64 Assembly", 0, 28, 0, 0, 0, 5, 17, 50
"/home/witut/Desktop/xaninOS/src/xaninApps/reboot.c", "C", 19, 0, 0, 0, 0, 0, 16, 35
"/home/witut/Desktop/xaninOS/src/xaninApps/register_dump.c", "C", 47, 0, 0, 0, 0, 0, 17, 64
"/home/witut/Desktop/xaninOS/src/xaninApps/run.c", "C", 43, 0, 0, 0, 0, 1, 22, 66
"/home/witut/Desktop/xaninOS/src/xaninApps/run16.c", "C", 36, 0, 0, 0, 0, 1, 19, 56
"/home/witut/Desktop/xaninOS/src/xaninApps/shutdown.asm", "x86 and x86_64 Assembly", 0, 21, 0, 0, 0, 1, 13, 35
"/home/witut/Desktop/xaninOS/src/xaninApps/shutdown.c", "C", 34, 0, 0, 0, 0, 1, 22, 57
"/home/witut/Desktop/xaninOS/src/xaninApps/stack_frame_test.c", "C", 18, 0, 0, 0, 0, 0, 13, 31
"/home/witut/Desktop/xaninOS/src/xaninApps/syscall_test.asm", "x86 and x86_64 Assembly", 0, 23, 0, 0, 0, 3, 17, 43
"/home/witut/Desktop/xaninOS/src/xaninApps/timer_test.c", "C", 25, 0, 0, 0, 0, 0, 13, 38
"/home/witut/Desktop/xaninOS/src/xaninApps/xanin_apps_space.asm", "x86 and x86_64 Assembly", 0, 1, 0, 0, 0, 0, 2, 3
"/home/witut/Desktop/xaninOS/src/xaninApps/zsk.c", "C", 49, 0, 0, 0, 0, 1, 21, 71
"/home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.c", "C", 19, 0, 0, 0, 0, 0, 10, 29
"/home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.h", "C++", 0, 0, 5, 0, 0, 0, 3, 8
"/home/witut/Desktop/xaninOS/src/xin_fs/entries_table.asm", "x86 and x86_64 Assembly", 0, 2, 0, 0, 0, 1, 4, 7
"/home/witut/Desktop/xaninOS/src/xin_fs/list_files.c", "C", 13, 0, 0, 0, 0, 0, 7, 20
"/home/witut/Desktop/xaninOS/src/xin_fs/xanin_fs_saver.c", "C", 7, 0, 0, 0, 0, 0, 6, 13
"/home/witut/Desktop/xaninOS/src/xin_fs/xin.c", "C", 372, 0, 0, 0, 0, 11, 158, 541
"/home/witut/Desktop/xaninOS/src/xin_fs/xin.h", "C++", 0, 0, 21, 0, 0, 0, 12, 33
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_entry.h", "C++", 0, 0, 38, 0, 0, 0, 17, 55
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_note.c", "C", 121, 0, 0, 0, 0, 1, 68, 190
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_paint.c", "C", 130, 0, 0, 0, 0, 0, 58, 188
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_pointers.asm", "x86 and x86_64 Assembly", 0, 2, 0, 0, 0, 1, 6, 9
"Total", "-", 3975, 619, 3795, 47, 13, 749, 3539, 12737
